From	To	Species	Gene Name
yjdC	B7MSV1	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	B1XD15	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	A1AJ44	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	B7NTJ4	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	Q7A8X3	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	Q1R3C5	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	P36656	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	Q8XDS1	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	Q2M6G9	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	B7LBZ4	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	P0ACU7	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	B7UPV5	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	P0ACU8	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	B7M8P6	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	Q47128	Escherichia coli	HTH-type transcriptional regulator yjdC
yjdC	B7MKU0	Escherichia coli	HTH-type transcriptional regulator yjdC
fucU	B7NVV2	Escherichia coli	L-fucose mutarotase
fucU	P11555	Escherichia coli	L-fucose mutarotase
fucU	B1LQZ8	Escherichia coli	L-fucose mutarotase
fucU	P0AEP0	Escherichia coli	L-fucose mutarotase
fucU	B7UHM0	Escherichia coli	L-fucose mutarotase
fucU	B7N738	Escherichia coli	L-fucose mutarotase
fucU	P0AEN8	Escherichia coli	L-fucose mutarotase
fucU	P0AEN9	Escherichia coli	L-fucose mutarotase
fucU	B7MLC5	Escherichia coli	L-fucose mutarotase
fucU	B7LXM0	Escherichia coli	L-fucose mutarotase
fucU	B1XDL3	Escherichia coli	L-fucose mutarotase
fucU	Q2MA30	Escherichia coli	L-fucose mutarotase
fucU	B5Z4C4	Escherichia coli	L-fucose mutarotase
fucU	A7ZQP8	Escherichia coli	L-fucose mutarotase
fucU	Q46923	Escherichia coli	L-fucose mutarotase
fucU	A8A3T9	Escherichia coli	L-fucose mutarotase
fucU	A1AEZ1	Escherichia coli	L-fucose mutarotase
fucU	B7MZA0	Escherichia coli	L-fucose mutarotase
fucU	Q1R7N6	Escherichia coli	L-fucose mutarotase
fucU	B7LEY4	Escherichia coli	L-fucose mutarotase
bcsG	B7MEP2	Escherichia coli	Uncharacterized protein yhjU
bcsG	B7M3F0	Escherichia coli	Uncharacterized protein yhjU
bcsG	B7NEI8	Escherichia coli	Uncharacterized protein yhjU
bcsG	B7UL91	Escherichia coli	Uncharacterized protein yhjU
bcsG	B1X8F3	Escherichia coli	Uncharacterized protein yhjU
bcsG	B7N1I5	Escherichia coli	Uncharacterized protein yhjU
bcsG	B7L623	Escherichia coli	Uncharacterized protein yhjU
bcsG	P37659	Escherichia coli	Uncharacterized protein yhjU
bcsG	Q2M7J9	Escherichia coli	Uncharacterized protein yhjU
entB	B7M4S7	Escherichia coli	Isochorismatase
entB	B7MRN3	Escherichia coli	Isochorismatase
entB	P15048	Escherichia coli	Isochorismatase
entB	Q1REW7	Escherichia coli	Isochorismatase
entB	B1X5Z2	Escherichia coli	Isochorismatase
entB	B5YPU1	Escherichia coli	Isochorismatase
entB	B7N9K2	Escherichia coli	Isochorismatase
entB	B7L8H8	Escherichia coli	Isochorismatase
entB	A7ZXM2	Escherichia coli	Isochorismatase
entB	Q8FK17	Escherichia coli	Isochorismatase
entB	Q2MBK6	Escherichia coli	Isochorismatase
entB	B7NLV6	Escherichia coli	Isochorismatase
entB	A7ZIX9	Escherichia coli	Isochorismatase
entB	B7UKN8	Escherichia coli	Isochorismatase
entB	A1A8M6	Escherichia coli	Isochorismatase
entB	B1LKI8	Escherichia coli	Isochorismatase
entB	P0ADI4	Escherichia coli	Isochorismatase
entB	P0ADI5	Escherichia coli	Isochorismatase
entB	B7MF07	Escherichia coli	Isochorismatase
tolC	Q7AAR4	Escherichia coli	Outer membrane protein tolC
tolC	B7UIU5	Escherichia coli	Outer membrane protein tolC
tolC	B1LF29	Escherichia coli	Outer membrane protein tolC
tolC	B5YR81	Escherichia coli	Outer membrane protein tolC
tolC	P02930	Escherichia coli	Outer membrane protein tolC
tolC	B1XG40	Escherichia coli	Outer membrane protein tolC
tolC	Q8CVQ1	Escherichia coli	Outer membrane protein tolC
tolC	B6I407	Escherichia coli	Outer membrane protein tolC
tolC	B7LZI5	Escherichia coli	Outer membrane protein tolC
tolC	B7ND26	Escherichia coli	Outer membrane protein tolC
tolC	B7MAB0	Escherichia coli	Outer membrane protein tolC
tolC	Q8XBP7	Escherichia coli	Outer membrane protein tolC
tolC	Q0TD69	Escherichia coli	Outer membrane protein tolC
tolC	B1ISC1	Escherichia coli	Outer membrane protein tolC
tolC	B7NJP9	Escherichia coli	Outer membrane protein tolC
tolC	B7N0I2	Escherichia coli	Outer membrane protein tolC
tolC	Q2M9G5	Escherichia coli	Outer membrane protein tolC
tolC	B7LGH5	Escherichia coli	Outer membrane protein tolC
tolC	Q1R6U8	Escherichia coli	Outer membrane protein tolC
tolC	A1AFV8	Escherichia coli	Outer membrane protein tolC
tolC	A7ZRR7	Escherichia coli	Outer membrane protein tolC
tolC	A8A4J2	Escherichia coli	Outer membrane protein tolC
entA	Q8X528	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	Q7AGR3	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	P77100	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B7M4S8	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B7N9K3	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	Q1REW6	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B5YPU2	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B1X5Z3	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	A7ZXM3	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	A7ZIY0	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B7L8H9	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	Q8FK16	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B7NLV7	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	Q2MBK5	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B7UKN9	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B1LKI9	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	A1A8M7	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B7MRN4	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	P15047	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
entA	B7MF08	Escherichia coli	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
tolA	Q8FJT1	Escherichia coli	Protein tolA
tolA	B1IXZ0	Escherichia coli	Protein tolA
tolA	Q7AGI8	Escherichia coli	Protein tolA
tolA	A7ZY03	Escherichia coli	Protein tolA
tolA	B7MPN0	Escherichia coli	Protein tolA
tolA	B7ULL9	Escherichia coli	Protein tolA
tolA	B5YRE3	Escherichia coli	Protein tolA
tolA	B7MFZ2	Escherichia coli	Protein tolA
tolA	B7M6A9	Escherichia coli	Protein tolA
tolA	B7L8R2	Escherichia coli	Protein tolA
tolA	B7N9Y8	Escherichia coli	Protein tolA
tolA	B7NMV8	Escherichia coli	Protein tolA
tolA	B6I811	Escherichia coli	Protein tolA
tolA	B7LAE6	Escherichia coli	Protein tolA
tolA	Q8X965	Escherichia coli	Protein tolA
tolA	A1A8Y9	Escherichia coli	Protein tolA
tolA	A7ZJC1	Escherichia coli	Protein tolA
tolA	Q1REI6	Escherichia coli	Protein tolA
tolA	B1LM38	Escherichia coli	Protein tolA
tolA	P19934	Escherichia coli	Protein tolA
tolA	Q0TJV5	Escherichia coli	Protein tolA
tolA	B1X6S0	Escherichia coli	Protein tolA
tolB	P0A855	Escherichia coli	Protein tolB
tolB	B7MPN1	Escherichia coli	Protein tolB
tolB	B1IXY9	Escherichia coli	Protein tolB
tolB	B5YRE4	Escherichia coli	Protein tolB
tolB	B7MFZ3	Escherichia coli	Protein tolB
tolB	Q1REI5	Escherichia coli	Protein tolB
tolB	B7N9Y9	Escherichia coli	Protein tolB
tolB	P0A857	Escherichia coli	Protein tolB
tolB	A1A8Z0	Escherichia coli	Protein tolB
tolB	P0A856	Escherichia coli	Protein tolB
tolB	B7ULM0	Escherichia coli	Protein tolB
tolB	B6I812	Escherichia coli	Protein tolB
tolB	B7LAE7	Escherichia coli	Protein tolB
tolB	B7NMV9	Escherichia coli	Protein tolB
tolB	B7M6B0	Escherichia coli	Protein tolB
tolB	A7ZJC2	Escherichia coli	Protein tolB
tolB	B1LM39	Escherichia coli	Protein tolB
tolB	Q0TJV4	Escherichia coli	Protein tolB
tolB	P19935	Escherichia coli	Protein tolB
tolB	B1X6S1	Escherichia coli	Protein tolB
yjdJ	Q7A8X6	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B7NST9	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B7MK00	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B7NG63	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	Q1R3D5	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B7MRD1	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B7UPU9	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B7M8N7	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	Q8XDT1	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	Q2M6H7	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B7LC26	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	Q8FAT8	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	P39274	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	B1XD07	Escherichia coli	Uncharacterized protein yjdJ
yjdJ	A1AIX1	Escherichia coli	Uncharacterized protein yjdJ
entF	B6I0N8	Escherichia coli	Enterobactin synthetase component F
entF	Q1REX6	Escherichia coli	Enterobactin synthetase component F
entF	B7N9J3	Escherichia coli	Enterobactin synthetase component F
entF	B7M4R8	Escherichia coli	Enterobactin synthetase component F
