cca	cca
fliA	fliA
B7LST2	tusA
P15254	purL
flhD	flhD
flhE	flhE
P39221	52
P39220	yabP
P27245	marR
Q8FF08	ung
P27243	rfaL
cdd	cdd
srmB	srmB
P27241	rfaZ
P27242	waaU
cdh	cdh
P27240	rfaY
P39208	idnK
P30871	ygiF
P30870	glnE
P39206	caiE
flhA	flhA
P39212	insN2
flgB	flgB
flgD	flgD
flgE	flgE
flgG	flgG
flgH	flgH
flgI	flgI
flgK	flgK
flgL	flgL
P27238	yfeD
flgM	flgM
flgN	flgN
P30864	yafC
P77510	dpiB
P30863	dkgB
P30866	yafE
tusE	tusE
P77519	yddL
P30860	artJ
P77515	stfQ
P17888	priA
B7LT32	
X	X
tusA	tusA
Q6BF25	ldrD
cfa	cfa
pifA	pifA
fliS	fliS
tgt	tgt
P30852	smf
P30855	evgS
pifC	pifC
P30859	artI
fliY	fliY
uxuB	uxuB
fliZ	fliZ
P77509	yphE
hrpA	hrpA
B7MW68	cutC
P77503	ycjS
P77504	ybbP
P77506	ybdJ
P30850	rnb
fliC	fliC
fliD	fliD
fliE	fliE
fliF	fliF
fliG	fliG
fliH	fliH
fliI	fliI
uxuA	uxuA
fliK	fliK
fliL	fliL
fliM	fliM
fliN	fliN
fliO	fliO
P27278	nadR
Q8FF55	rlmN
ycbL	gloC
P39267	yjcZ
ccdB	ccdB
tig	tig
ccdA	ccdA
P39263	yfcC
P39265	alsB
P39264	fimI
ycbG	matP
Q6BF87	ldrB
ycaO	ycaO
ycaR	ycaR
B7N849	lpxB
Q6BEX0	ytfR
ycaC	ycaC
Q6BEX5	yjdP
B7UMJ5	glmU
P27254	argK
P27253	scpA
P27250	ahr
ycdX	ycdX
ycdY	ycdY
ytfJ	ytfJ
Q8FF30	hmp
B7LSM7	hflD
ycdO	efeO
Q8X9E5	aaeA
ytfB	ytfB
B7N7Q0	ileS
P66817	diaA
P66818	diaA
P27249	glnD
P27247	plsX
P27248	gcvT
yccU	yccU
yccW	rlmI
yccX	yccX
yccJ	yccJ
Q1RAM8	pgsA
P15288	pepD
P15286	flk
B7LT01	dctA
yccF	yccF
ycbX	ycbX
P66828	sodA
ycbY	rlmL
ycbZ	ycbZ
P05847	ttdA
ycfM	lpoB
ycfP	ycfP
ycfQ	comR
REV__Q6QGH9	
ycfD	roxA
Q8X8Y9	dgt
